id,name,localizedName,logo
10459,UEFA Nations League C Women,UEFA Nations League C Women,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10459.png
9809,UEFA Nations League D,UEFA Nations League D,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/9809.png
74,UEFA Super Cup,UEFA Super Cup,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/74.png
10457,UEFA Women's Nations League,UEFA Women's Nations League,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10457.png
9741,UEFA Youth League,UEFA Youth League,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/9741.png
10269,Womens Asian Cup,Womens Asian Cup,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10269.png
9375,Women's Champions League,Women's Champions League,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/9375.png
10612,Women's Champions League Qualification,Women's Champions League Qualification,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10612.png
292,Women's EURO Qualification,Women's EURO Qualification,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/292.png
10640,Women's EURO Qualification League A,Women's EURO Qualification League A,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10640.png
10641,Women's EURO Qualification League B,Women's EURO Qualification League B,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10641.png
10642,Women's EURO Qualification League C,Women's EURO Qualification League C,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10642.png
293,Women's Friendlies,Women's Friendlies,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/293.png
76,Women's World Cup,Women's World Cup,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/76.png
77,World Cup,FIFA World Cup,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/77.png
10358,World Cup Qualification (W) CONCAFAF,World Cup Qualification (W) CONCAFAF,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10358.png
10359,World Cup Qualification (W) Inter-Confederation,World Cup Qualification (W) Inter-Confederation,https://images.fotmob.com/image_resources/logo/leaguelogo/dark/10359.png
