name,shortName,id,deduction,ongoing,played,wins,draws,losses,scoresStr,goalConDiff,pts,idx,qualColor,logo,league_id
Cercle Brugge,Cercle Brugge,9984,,,5,3,1,1,13-6,7,10,7,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/9984_large.png,10216
Jagiellonia Bialystok,Jagiellonia Bialystok,1957,,,5,3,1,1,10-5,5,10,8,#2AD572,https://images.fotmob.com/image_resources/logo/teamlogo/1957_large.png,10216
Rapid Wien,Rapid Wien,10015,,,5,3,1,1,8-5,3,10,9,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/10015_large.png,10216
APOEL Nicosia,APOEL Nicosia,8621,,,5,3,1,1,7-4,3,10,10,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8621_large.png,10216
Djurgården,Djurgården,9802,,,5,3,1,1,8-6,2,10,11,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/9802_large.png,10216
Pafos FC,Pafos FC,2137,,,5,3,0,2,9-5,4,9,12,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/2137_large.png,10216
Gent,Gent,9991,,,5,3,0,2,8-7,1,9,13,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/9991_large.png,10216
Olimpija Ljubljana,Olimpija Ljubljana,7872,,,5,3,0,2,7-6,1,9,14,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/7872_large.png,10216
FC Heidenheim,FC Heidenheim,94937,,,5,3,0,2,6-6,0,9,15,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/94937_large.png,10216
FC København,FC København,8391,,,5,2,2,1,8-6,2,8,16,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8391_large.png,10216
Real Betis,Real Betis,8603,,,5,2,1,2,5-5,0,7,17,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8603_large.png,10216
Panathinaikos,Panathinaikos,10200,,,5,2,1,2,6-7,-1,7,18,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/10200_large.png,10216
Vikingur Reykjavik,Vikingur Reykjavik,6017,,,5,2,1,2,6-7,-1,7,19,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/6017_large.png,10216
Borac Banja Luka,Borac Banja Luka,10116,,,5,2,1,2,4-7,-3,7,20,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/10116_large.png,10216
Omonia Nicosia,Omonia Nicosia,8044,,,5,2,0,3,7-7,0,6,21,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/8044_large.png,10216
Mlada Boleslav,Mlada Boleslav,10180,,,5,2,0,3,4-6,-2,6,22,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/10180_large.png,10216
Hearts,Hearts,9860,,,5,2,0,3,4-7,-3,6,23,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/9860_large.png,10216
Başakşehir,Başakşehir,1933,,,5,1,2,2,8-11,-3,5,24,#0294F0,https://images.fotmob.com/image_resources/logo/teamlogo/1933_large.png,10216
NK Celje,NK Celje,4622,,,5,1,1,3,10-11,-1,4,25,,https://images.fotmob.com/image_resources/logo/teamlogo/4622_large.png,10216
Molde,Molde,9917,,,5,1,1,3,6-8,-2,4,26,,https://images.fotmob.com/image_resources/logo/teamlogo/9917_large.png,10216
TSC Backa Topola,TSC Backa Topola,676140,,,5,1,1,3,6-10,-4,4,27,,https://images.fotmob.com/image_resources/logo/teamlogo/676140_large.png,10216
FC Astana,FC Astana,166865,,,5,1,1,3,3-7,-4,4,28,,https://images.fotmob.com/image_resources/logo/teamlogo/166865_large.png,10216
HJK,HJK,9861,,,5,1,1,3,3-8,-5,4,29,,https://images.fotmob.com/image_resources/logo/teamlogo/9861_large.png,10216
St. Gallen,St. Gallen,10190,,,5,1,1,3,9-17,-8,4,30,,https://images.fotmob.com/image_resources/logo/teamlogo/10190_large.png,10216
FC Noah,FC Noah,866111,,,5,1,1,3,3-12,-9,4,31,,https://images.fotmob.com/image_resources/logo/teamlogo/866111_large.png,10216
TNS,TNS,7852,,,5,1,0,4,3-7,-4,3,32,,https://images.fotmob.com/image_resources/logo/teamlogo/7852_large.png,10216
Dinamo Minsk,Dinamo Minsk,10058,,,5,1,0,4,4-9,-5,3,33,,https://images.fotmob.com/image_resources/logo/teamlogo/10058_large.png,10216
LASK,LASK,9977,,,5,0,2,3,3-13,-10,2,34,,https://images.fotmob.com/image_resources/logo/teamlogo/9977_large.png,10216
CS Petrocub,CS Petrocub,561981,,,5,0,1,4,2-11,-9,1,35,,https://images.fotmob.com/image_resources/logo/teamlogo/561981_large.png,10216
Larne,Larne,2206,,,5,0,0,5,2-12,-10,0,36,,https://images.fotmob.com/image_resources/logo/teamlogo/2206_large.png,10216
Silkeborg,Silkeborg,8415,,,3,3,0,0,8-3,5,9,1,,https://images.fotmob.com/image_resources/logo/teamlogo/8415_large.png,9514
