"Team ID","News ID","Title","Image","Published Time","Source","URL","Content"
9810,"4D3FD70B37FFF7CFBA4FEA4C2679ABE6","15:30 Kickoffs: Musiala leads FCB ""reaction"", Frankfurt draw, Bayer extend winning streak","https://bulinews.com/i/320/6749.jpg","2024-12-07T16:44:00.000Z","Bulinews.com","https://bulinews.com/15-30-kickoffs-musiala-leads-fcb-reaction-frankfurt-draw-bayer-extend-winning-streak","A Jamal Musiala brace ensured that Vincent Kompany's FC Bayern München were able to make their desired statement and keep hold of their lead at the top of the Bundesliga table on Saturday afternoon. Frank Schmidt's 1. FC Heidenheim rolled into the Allia"
9810,"DC0A919F7F7BFF67CBE4A9DB918D5AF7","Frankfurt vs. Augsburg preview: Eintracht hope to recover from Pokal mishap","https://bulinews.com/i/320/6737.jpg","2024-12-06T19:46:00.000Z","Bulinews.com","https://bulinews.com/frankfurt-augsburg-preview-eintracht-hope-recover-pokal-mishap","After missing out on a chance to win eight consecutive matches on-the-trot in Wednesday's Pokal debacle, Dino Toppmöller's SGE unexpectedly tanked hard against struggling RB Leipzig amid some questionable decisions from their head-coach. Just four point"
9810,"BA37C53B0F09795CF8791C3DA9590B8D","Toppmöller declares Theate fit for Augsburg, commits to Marmoush and Ekitiké","https://bulinews.com/i/320/6735.jpg","2024-12-06T18:31:00.000Z","Bulinews.com","https://bulinews.com/toppmoller-declares-theate-fit-for-augsburg-commits-marmoush-and-ekitike","Eintracht Frankfurt's lethargic and rudderless performance against RB Leipzig in Wednesday's DFB Pokal fixture won't lead to either Omar Marmoush or Hugo Ekitiké being benched in this weekend's forthcoming league encounter against FC Augsburg. This was "
9810,"793F266E9230A78EC0B3655ABC6516EC","Eintracht Frankfurt interested in bringing Paul Wanner in on loan","https://www.getfootballnewsgermany.com/assets/1-fc-heidenheim-1846-v-eintracht-frankfurt-bundesliga-1024x683.jpg","2024-12-06T10:58:55.000Z","Get German Football News","https://www.getfootballnewsgermany.com/2024/eintracht-frankfurt-interested-in-bringing-paul-wanner-in-on-loan/","Bild reports that Eintracht Frankfurt are interested in bringing Paul Wanner in on loan next season, with the move likely being his final stop before staying at Bayern Munich. Wanner has spent the past two years on loan at Elversberg and now Heidenheim, "
9810,"3914E9BFD23011369307A2B79B37525C","RB Leipzig overcome poor form in win vs Frankfurt","https://bulinews.com/i/320/6711.jpg","2024-12-04T21:47:00.000Z","Bulinews.com","https://bulinews.com/leipzig-overcome-poor-form-win-frankfurt","RB Leipzig started strongly but were cautious, as Nicolas Seiwald's free kick in the eighth minute failed to bring about a goal. In the 17th minute, Willi Orban headed the ball in the direction of Frankfurt's goal and he forced a good save from Kevin Tra"
9810,"E0D2DC154A2438EE703233749CB8C550","Bayern Munich leading race for Hoffenheim’s Tom Bischof","https://www.getfootballnewsgermany.com/assets/tsg-1899-hoffenheim-v-fc-st-pauli-1910-bundesliga-2-1024x683.jpg","2024-12-04T11:56:26.000Z","Get German Football News","https://www.getfootballnewsgermany.com/2024/bayern-munich-leading-bischof/","Sport Bild report that Bayern Munich are leading RB Leipzig, Eintracht Frankfurt and VfB Stuttgart in the race to sign Hoffenheim talent Tom Bischof (19). The German youth international is in the final year of his contract with the Sinsheim club and it�"
10260,"8D9DEE7B6A918E67B441C1C41B96D557","Ref Watch: Robertson red wrong as FA set to look into Cunha antics","https://e2.365dm.com/24/12/1920x1080/skysports-ref-watch-liverpool_6777692.jpg?20241216122404","2024-12-16T12:30:00.000Z","Sky Sports","http://www.skysports.com/football/news/11667/13274886/ref-watch-liverpool-defender-andy-robertson-should-not-have-been-sent-off-against-fulham-says-dermot-gallagher","Football Ex-Premier League referee Dermot Gallagher analyses the controversial incidents from the weekend's action, including Andy Robertson's red card in Liverpool's 2-2 home draw against Fulham and the behaviour of Matheus Cunha and Rayan Ait-Nouri aft"
10260,"7D69985921972A68FFCDFF36EF8C6A14","Ref Watch LIVE! Gallagher discusses the weekend's major talking points","https://e0.365dm.com/24/12/1920x1080/skysports-ref-watch-dermot-gallagher_6771306.jpg?20241209105250","2024-12-16T11:02:00.000Z","Sky Sports","http://www.skysports.com/football/live-blog/11667/13274849/ref-watch-live-former-premier-league-referee-dermot-gallagher-analyses-the-big-weekend-decisions","Football Sorry, this blog is currently unavailable. Please try again later. © 2024 Sky UK"
10260,"13303126A1CFD500AF97AB927E47E1EF","Transfer Centre LIVE! Maguire holds 'positive' Man Utd contract talks","https://e2.365dm.com/24/10/1920x1080/skysports-harry-maguire-manchester-united_6705486.jpg?20241003215855","2024-12-16T11:00:00.000Z","Sky Sports","http://www.skysports.com/football/live-blog/11667/12476234/transfer-centre-live-football-transfers-news-updates-and-rumours","Transfer Centre Sorry, this blog is currently unavailable. Please try again later. © 2024 Sky UK"
10260,"87CD0064CF1890B805DDE022284C30DD","Man Utd latest: Have your say after the derby win at Man City!","https://e2.365dm.com/24/11/1920x1080/skysports-ruben-amorim-manchester-united_6738857.jpg?20241104153917","2024-12-16T10:00:00.000Z","Sky Sports","http://www.skysports.com/football/live-blog/11667/13025492/man-utd-transfer-news-rumours-and-gossip-live-updates-and-latest-on-deals-signings-loans-and-contracts","Football Sorry, this blog is currently unavailable. Please try again later. © 2024 Sky UK"
10260,"48502DBDD125265DE31558F539E76C29","Pep says 'I'm not good enough' as Man City crisis deepens","https://e1.365dm.com/24/12/1920x1080/skysports-pep-guardiola-man-city_6777099.jpg?20241215204002","2024-12-15T20:09:00.000Z","Sky Sports","http://www.skysports.com/football/news/11667/13274552/pep-guardiola-man-city-boss-says-he-is-not-good-enough-as-late-defeat-to-man-utd-deepens-crisis","Football Manchester City slumped to an eighth defeat in 11 games in all competitions against Manchester United, continuing the club's worst run of form since 2006; Pep Guardiola: I'm the manager and I'm not good enough, simple as that Monday 16 December "
10260,"16239EC4BB092796452B959DCC679953","Neville: ‘Diallo was the one player on the pitch that looked like something’","https://e1.365dm.com/24/12/1920x1080/skysports-amad-diallo-gary_6777077.jpg?20241215202021","2024-12-15T20:06:00.000Z","Sky Sports","http://www.skysports.com/watch/video/13274548/diallo-was-the-one-player-on-the-pitch-that-looked-like-something-mxf","Football Sunday 15 December 2024 20:41, UK Please use Chrome browser for a more accessible video player © 2024 Sky UK"
